id,name,category,subcat,price
1,Knitted Infinity Scarf,Clothing - Accessories,Scarves,29.99
2,Walnut Halves,Food - Nuts,Nut Snacks,8.49
3,Ceramic Knife Set,Kitchen,Cutlery,39.99
4,Interchangeable Watch Bands,Accessories,Watches,24.99
5,Honey Mustard Dip,Food - Condiments,Dips & Spreads,3.29
6,Hand Mixer,Kitchen,Blenders & Juicers,29.99
7,Craft Beer Mustard,Food - Condiments,Mustards,3.99
8,Organic Almond Flour,Food - Baking,Flours & Meals,6.99
9,Yoga Blocks,Fitness,Yoga Equipment,29.99
10,Vegan Caesar Dressing,Food - Condiments,Dressing,-3
11,Blueberry Oatmeal Cups,Food - Breakfast,Healthy Breakfast Options,3.29
12,Pepperoni Pizza Rolls,Food - Snacks,Savory Snacks,6.99
13,Honey Sesame Chicken Mix,Food - Frozen Meals,Frozen Asian Meals,8.99
14,Bluetooth Car Adapter,Automotive,Automotive Accessories,24.99
15,Asian Stir-Fry Vegetables,Food - Frozen Foods,Frozen Vegetables,2.99
16,Garlic Herb Marinade,Food - Marinades,Marinades,3.29
17,Sweet Potato Mash,Food - Frozen Foods,Frozen Vegetables,3.99
18,Portable Electric Fan,Home,Home Appliances,24.99
19,Red Lentils,Food - Grains,Legumes,1.99
20,Lockable Bicycle Chain,Outdoor,Cycling Accessories,19.99
21,Shower Curtain Hooks,Home,Home Organization,12.99
22,Orange Ginger Vinaigrette,Food - Condiments,Dressing,3.99
23,Interactive Robot Toy,Toys,Robotics Toys,34.99
24,Electric Ice Cream Maker,Kitchen,Cooking Appliances,59.99
25,Kettle Chip Variety Pack,Food - Snacks,Chips and Crisps,3.99
26,Portable Phone Charger,Accessories,Mobile Accessories,29.99
27,Lightweight Backpacking Tent,Outdoor,Camping Equipment,129.99
28,Egg Noodles,Food - Grains,Pasta,2.29
29,Canned Sardines,Food - Seafood,Canned Seafood,3.29
30,Classic Baseball Cap,Clothing - Accessories,Headwear,24.99
31,Honey Mustard Chicken Breasts,Food - Meat,Processed Meats,8.99
32,Vegetable Stir-Fry Sauce,Food - Sauces,Asian Sauces,3.49
33,Beef Stroganoff Mix,Food - Meal Kits,Pasta & Rice Mixes,5.49
34,Athletic Jogging Jacket,Clothing - Outerwear,Activewear Jackets,49.99
35,Honeycrisp Apples,Food - Produce,Fresh Fruits,1.89
36,Beard Grooming Kit,Grooming,Grooming,34.99
37,Wireless Game Controller,Gaming,Gaming Accessories,39.99
38,Baked Falafel,Food - Vegetarian,Snacks,5.49
39,Mediterranean Chickpea Bowl,Food - Prepared Foods,Plant-Based Meals,6.49
40,Stainless Steel Straws,Kitchen,Kitchen Accessories,12.99
41,Chocolate Chip Energy Balls,Food - Snacks,Healthy Snacks,3.99
42,Maple Almond Granola,Food - Breakfast,Granola/Cereal,5.49
43,Sliced Bread,Food - Bakery,Breads,2.99
44,Organic Almonds,Food - Nuts,Nut Snacks,8.99
45,Portable Speakers,Audio,Wireless Speakers,69.99
46,Oven-Baked Cheese Crisps,Food - Snacks,Savory Snacks,3.99
47,Cinnamon Roll Protein Bar,Food - Snacks,Protein Snacks,2.99
48,Sesame Oil,Food - Oils & Vinegars,Oils,3.99
49,Air Fryer,Kitchen,Small Appliances,79.99
50,Dog Car Seat Cover,Pets,Pet Safety Gear,39.99
51,Gluten-Free Pancake Mix,Food - Baking Goods,Baking Mixes,5.99
52,Mushrooms,Food - Produce,Fresh Mushrooms,2.99
53,Roasted Red Pepper Sauce,Food - Sauces,Vegetable-Based Sauces,3.29
54,Travel Shoe Bags Set,Travel,Travel Accessories,15.99
55,Fall-Themed Table Runner,Home,Seasonal Home Decor,19.99
56,Blackberry Compote,Food - Condiments,Fruit Spreads,5.29
57,Stylish Wide-Leg Trousers,Clothing - Bottoms,,59.99
58,Electrolyte Water Bottle,Fitness,Hydration Gear,34.99
59,Cranberry Almond Granola,Food - Breakfast,Granola/Cereal,4.29
60,Chiffon Blouse,Clothing - Shirts,Dress Shirts,39.99
61,Tandoori Chicken Marinade,Food - Condiments,Marinades and Sauces,€ 2.49
62,Roasted Garlic Pasta Sauce,Food - Sauces,Pasta Sauces,4.99
63,Over-Ear Headphones,Audio,Headphones,59.99
64,Dog Training Collar,Pets,Training Supplies,39.99
65,Adjustable Kneeling Pad,Garden,Gardening Accessories,18.99
66,Portable Electric Fan,Home,Home Appliances,24.99
67,Chocolate Syrup,Food - Condiments,Syrups,2.99
68,Flavored Popcorn Mix,Food - Snacks,Gourmet Snacks,2.99
69,Window A/C Unit,Home Appliances,Cooling Appliances,299.99
70,Honey Glazed Carrots,Food - Produce,Prepared Vegetables,3.49
71,Lemon Dill Salmon,Food - Seafood,Prepared Seafood,9.99
72,Decorative LED Neon Sign,Home,Lighting & Lamps,45.99
73,Classic Cheeseburger Mix,Food - Meats,Ground Meats,5.49
74,Coconut Lime Rice,Food - Sides,Grains,2.99
75,Scent Diffuser,Home,Home Fragrance & Accessories,34.99
76,Kids' Craft Supplies Set,Toys,Creative Arts & Crafts,24.99
77,Wireless Charging Station,Electronics,Mobile Accessories,39.99
78,Throw Pillow Covers,Home,Decorative Wall Art & Accessories,22.99
79,Pet Carrier,Pets,Travel Accessories,39.99
80,Organic Blueberries,Food - Fruits,Berries,5.49
81,Artisan Pickles,Food - Condiments,Pickles,2.49
82,Kids' Dinosaur-Themed Lunchbox,Accessories,Kids' Bags,19.99
83,Cable Knit Cardigan,Clothing - Outerwear,Knitwear,49.99
84,Chipotle Sauce,Food - Condiments,Spicy Sauces,3.29
85,Guitar Tuner,Music,Accessories,19.99
86,Coffee Subscription Service,Food,Beverages,29.99
87,LED Desk Lamp with USB Charging Port,Office,Lighting,29.99
88,Spinach Feta Wraps,Food - Deli,Wraps/Rolls,4.29
89,Peach Mango Smoothie Mix,Food - Beverages,Smoothies,5.99
90,Crispy Onion Rings,Food - Frozen Foods,Frozen Appetizers,4.29
91,Graphic Tee,Clothing,T-shirts,19.99
92,Reflective Safety Vest,Safety,Personal Protective Equipment (PPE) & Disaster Preparedness,19.99
93,Lemon Lime Sparkling Water,Food - Beverages,Sparkling Beverages,1.99
94,Garlic Breadsticks,Food - Sides,Bread & Rolls,3.49
95,Automatic Pet Feeder,Pets,Pet Feeding Supplies,69.99
96,USB-C Hub,Computers,Accessories,39.99
97,Roasted Red Pepper Dip,Food - Snacks,Dips and Spreads,3.29
98,Chocolate Mint Cookies,Food - Baking,Cookies,2.29
99,Spaghetti Squash,Food - Produce,Vegetables,3.99
100,Portable Leaf Blower,Outdoor,Garden Supplies,149.99
101,Artisan Bread,Food - Bakery,Breads,4.59
102,Turkey Bacon,Food - Meat,Processed Meats,3.99
103,Buffalo Chicken Dip,Food - Dips,Spicy Dips,5.99
104,Wall-Mounted Spice Rack,Kitchen,Kitchen Storage & Organization,39.99
105,Multi-Purpose Marine Rope,Outdoor,Outdoor Recreation,19.99
106,Noise-Canceling Headphones,Audio,Headphones,119.99
107,Leather Crossbody Bag,Clothing - Bags,Handbags,89.99
108,Wireless HDMI Transmitter,Electronics,Audio & Video Accessories,79.99
109,Outdoor Fire Pit,Outdoor,Outdoor Accessories,149.99
110,Herb Garden Planter Box,Garden,Planters,49.99
111,Mediterranean Flatbread,Food - Bakery,Flatbreads,3.5
112,Smartphone UV Sanitizer,Health,Personal Care & Grooming,39.99
113,Frozen Fruit Medley,Food - Frozen Foods,Frozen Fruits,5.99
114,Multi-Purpose Plant Care Tool,Garden,Garden Tools,24.99
115,Pet Carrier,Pets,Travel Accessories,39.99
116,Pumpkin Spice Muffins,Food - Bakery,Seasonal Items,3.99
117,Sriracha Hot Chili Sauce,Food - Condiments,Hot Sauces,2.99
118,Smart LED Light Strip,Home,Smart Home & Security,29.99
119,Kids' Art Easel,Toys,Creative Toys,58.99
120,Coffee Grinder,Kitchen,Coffee Equipment,39.99
121,Vegetable Lentil Soup,Food - Canned Goods,Soups & Broths,3.49
122,3D Night Light,Home,Decorative Wall Art & Accessories,19.99
123,Emergency Preparedness Kit,Safety,Disaster Preparedness,99.99
124,Sweet Potato & Kale Hash,Food - Prepared Foods,Vegetarian Meals,5.49
125,Beef Taco Skillet,Food - Meal Kits,Mexican Cuisine Meal Kits,8.49
126,Taro Chips,Food - Snacks,Savory Snacks,3.59
127,Balsamic Vinaigrette,Food - Dressings,Dressings,2.69
128,Kids' Craft Supplies Set,Toys,Creative Arts & Crafts,24.99
129,Pet Hair Vacuum Cleaner Attachment,Pets,Grooming Supplies,14.99
130,Creamy Tomato Basil Soup,Food - Canned Goods,Soups & Broths,3.29
131,Non-Stick Crepe Pan,Kitchen,Cookware,29.99
132,Eco-Friendly Disposable Plates,Kitchen,Sustainable Tableware,22.99
133,Multi-Cooker,Kitchen,Cooking Appliances,89.99
134,Peach & Mango Salsa,Food - Snacks,Salsas and Dips,4.49
135,Smart Plant Monitor,Garden,Garden Technology,24.99
136,Glass Food Containers,Kitchen,Food Storage Solutions,34.99
137,Garden Tool Set,Garden,Garden Tools,34.99
138,Smart Water Bottle with Hydration Reminder,Fitness,Health & Wellness Tools,39.99
139,Cabbage,Food - Produce,Vegetables,1.29
140,Travel Size Toiletry Bottles,Travel,Travel Accessories,9.99
141,Chocolate Chip Cookie Dough,Food - Baking,Mixes,5.49
142,Weighted Jump Rope with Counter,Fitness,Cardio Equipment,14.99
143,Silicone Baking Cups,Kitchen,Baking Accessories,10.99
144,Shredded Cheese,Food - Dairy,Cheese,4.29
145,Digital Wireless Meat Thermometer,Kitchen,Cooking Tools & Utensils,39.99
146,Nutty Granola Clusters,Food - Cereal,Granola,2.49
147,Inflatable Pool Float,Outdoor,Outdoor Recreation,29.99
148,Roasted Garlic Pasta Sauce,Food - Sauces,Pasta Sauces,4.99
